,track_uri,artist_name,artist_uri,track_name,album_uri,duration_ms,album_name,acousticness,analysis_url,danceability,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,valence
366,spotify:track:02fbPCPI1RZ6J58ZexOV1f,Blasterjaxx,spotify:artist:37awA8DFCAnCCL7aqYbDnD,Heart Starts to Beat,spotify:album:2MnVCbzwTnjgM0TNWRRqic,190153,Heart Starts to Beat,0.006840000000000001,https://api.spotify.com/v1/audio-analysis/02fbPCPI1RZ6J58ZexOV1f,0.371,0.9179999999999999,02fbPCPI1RZ6J58ZexOV1f,0.0256,5.0,0.16399999999999998,-3.3989999999999996,0.0,0.0609,129.96,3.0,https://api.spotify.com/v1/tracks/02fbPCPI1RZ6J58ZexOV1f,audio_features,0.294
157,spotify:track:01IyLgH29kt46qu8hdwf8G,Avant,spotify:artist:0AunegKKH2ys98aLxq8G1A,You & I - feat. KeKe Wyatt,spotify:album:010cogYVCU9Fu3jrDAJ6WO,234400,Face the Music,0.14400000000000002,https://api.spotify.com/v1/audio-analysis/01IyLgH29kt46qu8hdwf8G,0.55,0.524,01IyLgH29kt46qu8hdwf8G,0.0,3.0,0.24,-4.822,0.0,0.0327,130.672,4.0,https://api.spotify.com/v1/tracks/01IyLgH29kt46qu8hdwf8G,audio_features,0.285
4718,spotify:track:0YDstOhTHEQOd2EwgyMgOC,Hysee,spotify:artist:3IsdItywdrEtkWTh9sktVT,Circular Dispute,spotify:album:5M69NKLV8EITnjf713Eqlc,288371,Circular Dispute / Isolator / Ossima,0.591,https://api.spotify.com/v1/audio-analysis/0YDstOhTHEQOd2EwgyMgOC,0.424,0.295,0YDstOhTHEQOd2EwgyMgOC,0.8170000000000001,8.0,0.111,-18.66,1.0,0.132,169.988,4.0,https://api.spotify.com/v1/tracks/0YDstOhTHEQOd2EwgyMgOC,audio_features,0.0518
883,spotify:track:06NVXNLIDTQumfjwGKIBzh,David Brinston,spotify:artist:6NNVVLQbIfGVnNCUpQsdLw,Good Woman (With Some Bad Habits),spotify:album:1FtArTw3MfT682O78724f1,273253,Mississippi Boy,0.418,https://api.spotify.com/v1/audio-analysis/06NVXNLIDTQumfjwGKIBzh,0.552,0.484,06NVXNLIDTQumfjwGKIBzh,0.0,10.0,0.14400000000000002,-6.7860000000000005,1.0,0.0693,209.63099999999997,3.0,https://api.spotify.com/v1/tracks/06NVXNLIDTQumfjwGKIBzh,audio_features,0.8370000000000001
1921,spotify:track:0Do59HJNKcUliLc888Y2eT,Jon Bellion,spotify:artist:50JJSqHUf2RQ9xsHs0KMHg,Woodstock (Psychedelic Fiction),spotify:album:6wtd9JG4eEefueLT5iz49z,282500,Woodstock (Psychedelic Fiction),0.462,https://api.spotify.com/v1/audio-analysis/0Do59HJNKcUliLc888Y2eT,0.752,0.638,0Do59HJNKcUliLc888Y2eT,4.68e-06,0.0,0.0597,-6.184,1.0,0.0608,134.01,4.0,https://api.spotify.com/v1/tracks/0Do59HJNKcUliLc888Y2eT,audio_features,0.6990000000000001
80,spotify:track:00qOE7OjRl0BpYiCiweZB2,Foreigner,spotify:artist:6IRouO5mvvfcyxtPDKMYFN,Juke Box Hero,spotify:album:2Pw51hAGvWpTA3AYl2WVuu,259800,4 [Expanded],0.0828,https://api.spotify.com/v1/audio-analysis/00qOE7OjRl0BpYiCiweZB2,0.35700000000000004,0.653,00qOE7OjRl0BpYiCiweZB2,0.0,9.0,0.0844,-5.553999999999999,1.0,0.0654,176.64700000000002,4.0,https://api.spotify.com/v1/tracks/00qOE7OjRl0BpYiCiweZB2,audio_features,0.522
2220,spotify:track:0GR7iJLhj80KD5LkA14ZRn,Drake,spotify:artist:3TVXtAsR1Inumwj472S9r4,Digital Dash,spotify:album:1ozpmkWcCHwsQ4QTnxOOdT,231231,What A Time To Be Alive,0.00296,https://api.spotify.com/v1/audio-analysis/0GR7iJLhj80KD5LkA14ZRn,0.8809999999999999,0.546,0GR7iJLhj80KD5LkA14ZRn,4.72e-06,2.0,0.226,-7.566,1.0,0.12,140.032,4.0,https://api.spotify.com/v1/tracks/0GR7iJLhj80KD5LkA14ZRn,audio_features,0.276
2910,spotify:track:0LDFH1WLQ6NPEMH556LUGs,Jessie Reyez,spotify:artist:3KedxarmBCyFBevnqQHy3P,Shutter Island,spotify:album:2q7EwuXduuQGDJrPYPVFyw,187240,Kiddo,0.278,https://api.spotify.com/v1/audio-analysis/0LDFH1WLQ6NPEMH556LUGs,0.467,0.456,0LDFH1WLQ6NPEMH556LUGs,0.0,1.0,0.0624,-7.611000000000001,0.0,0.22,83.98899999999999,4.0,https://api.spotify.com/v1/tracks/0LDFH1WLQ6NPEMH556LUGs,audio_features,0.424
5892,spotify:track:0golpXYIyNhpxz9GH1MMTR,Grace VanderWaal,spotify:artist:3YdT8QvV4QvY4DfVJhxdcZ,Beautiful Thing,spotify:album:58CpIUMD6axObdLxxTIGGB,224880,Perfectly Imperfect (Japan Version),0.883,https://api.spotify.com/v1/audio-analysis/0golpXYIyNhpxz9GH1MMTR,0.502,0.156,0golpXYIyNhpxz9GH1MMTR,0.0,0.0,0.0867,-9.155,1.0,0.0556,164.19099999999997,4.0,https://api.spotify.com/v1/tracks/0golpXYIyNhpxz9GH1MMTR,audio_features,0.35200000000000004
2778,spotify:track:0KKkJNfGyhkQ5aFogxQAPU,Bruno Mars,spotify:artist:0du5cEVh5yTK9QJze8zA0C,That's What I Like,spotify:album:4PgleR09JVnm3zY1fW3XBA,206693,24K Magic,0.013000000000000001,https://api.spotify.com/v1/audio-analysis/0KKkJNfGyhkQ5aFogxQAPU,0.853,0.56,0KKkJNfGyhkQ5aFogxQAPU,0.0,1.0,0.0944,-4.961,1.0,0.0406,134.066,4.0,https://api.spotify.com/v1/tracks/0KKkJNfGyhkQ5aFogxQAPU,audio_features,0.86
